Date Time,TimeToPass,Car#,TotalDailyCars,Temp
2024-11-15 18:47:56, 5781, 1 , 65, 53
2024-11-15 18:48:06, 2290, 1 , 66, 53
2024-11-15 18:48:43, 4117, 1 , 67, 53
2024-11-15 18:48:50, 1966, 1 , 68, 53
2024-11-15 18:48:53, 2133, 1 , 69, 53
2024-11-15 18:49:13, 1842, 1 , 70, 53
2024-11-15 18:58:41, 2725, 1 , 71, 53
2024-11-15 18:58:44, 1513, 1 , 72, 52
2024-11-15 18:58:46, 777, 1 , 73, 52
2024-11-15 18:58:52, 3074, 1 , 74, 52
2024-11-15 18:58:54, 829, 1 , 75, 52
2024-11-16 08:45:48, 1488, 1 , 1, 48
2024-11-16 09:02:19, 1521, 1 , 2, 49
2024-11-16 09:31:03, 1365, 1 , 3, 50
2024-11-16 09:39:38, 3127, 1 , 4, 51
2024-11-16 09:39:40, 5071, 1 , 5, 51
2024-11-16 09:39:50, 3860, 1 , 6, 51
2024-11-16 09:40:06, 4632, 1 , 7, 51
2024-11-16 09:40:20, 11380, 1 , 8, 51
2024-11-16 09:40:23, 1206, 1 , 9, 51
2024-11-16 09:40:26, 4402, 1 , 10, 51
2024-11-16 09:40:36, 7739, 1 , 11, 51
2024-11-16 09:40:48, 1608, 1 , 12, 51
2024-11-16 09:41:01, 7319, 1 , 13, 51
2024-11-16 09:41:05, 227, 1 , 14, 51
2024-11-16 09:41:09, 2699, 1 , 15, 51
2024-11-16 09:41:16, 2994, 1 , 16, 51
2024-11-16 09:41:20, 2379, 1 , 17, 51
2024-11-16 09:41:26, 5115, 1 , 18, 51
2024-11-16 09:41:37, 2234, 1 , 19, 51
2024-11-16 09:41:39, 4115, 1 , 20, 51
2024-11-16 09:51:00, 4554, 1 , 21, 51
2024-11-16 09:52:06, 742, 1 , 22, 51
2024-11-16 10:03:28, 3203, 1 , 23, 52
2024-11-16 10:04:00, 8138, 1 , 24, 52
2024-11-16 10:04:25, 4070, 1 , 25, 52
2024-11-16 10:15:05, 3559, 1 , 26, 52
2024-11-16 10:15:09, 3424, 1 , 27, 52
2024-11-16 10:15:13, 2219, 1 , 28, 52
2024-11-16 10:15:15, 945, 1 , 29, 52
2024-11-16 10:15:23, 2429, 1 , 30, 52
2024-11-16 10:15:26, 2275, 1 , 31, 52
2024-11-16 10:15:35, 3958, 1 , 32, 52
2024-11-16 10:23:58, 3856, 1 , 33, 53
2024-11-16 10:24:04, 1029, 1 , 34, 53
