Date,Hour-17,Hour-18,Hour-19,Hour-20,Hour-21,Total,Temp
2024-11-29 21:10:00, 0, 350, 350, 881, 1034, 1034, 491.00
2024-11-30 21:10:00, 0, 338, 655, 942, 1106, 1106, 488.30
2024-12-01 21:10:00, 0, 283, 534, 646, 710, 710, 491.90
