Date Time,TimeToPass,Car#,TotalDailyCars,Temp
2024-11-27 19:13:46, 1061, 1 , 9, 37.40
2024-11-27 19:14:06, 725, 1 , 10, 37.40
2024-11-27 19:14:25, 1086, 1 , 11, 37.40
2024-11-27 19:18:30, 1271, 1 , 12, 37.40
2024-11-27 19:38:23, 765, 1 , 13, 36.50
2024-11-28 08:20:39, 8341, 1 , 1, 32.45
2024-11-28 09:34:10, 1148, 1 , 2, 35.60
2024-11-28 09:41:57, 721, 1 , 3, 36.05
2024-11-29 09:10:50, 1184, 1 , 1, 490.10
2024-11-29 09:42:04, 1360, 1 , 2, 490.55
2024-11-29 10:16:40, 2630, 1 , 3, 491.90
2024-11-29 11:01:47, 1490, 1 , 4, 32.90
2024-11-29 11:04:37, 1089, 1 , 5, 32.90
2024-11-29 11:23:07, 1404, 1 , 6, 34.25
2024-11-29 11:32:58, 2384, 1 , 7, 34.25
2024-11-29 11:50:45, 1399, 1 , 8, 34.70
2024-11-29 12:07:50, 1664, 1 , 9, 36.50
